tx_date;process_type;depot;fleet_manager;container_number;iso_code;condition;date_manufacturer;clean;grade;order_number;customer;vessel;voyage;discarge_port;delivery_port;carrier;transport_number;driver_name;tare;payload;max_gross;remark
2023-01-13T18:57:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";TRHU6315410;45G1;AV;2021-03;yes;"GRADE A";585605291;"PT. DELTA DUNIA TEKSTIL";"NAVIOS TEMO";250S;;;PO;H8473OW;;3700;28800;32500;
2023-01-13T19:02:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRSU3929897;45G1;AV;2017-11;yes;"GRADE B";585605291;"PT. DELTA DUNIA TEKSTIL";"NAVIOS TEMO";250S;;;IFE;K8220AQ;;3810;28690;32500;
2023-01-13T19:05:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRKU4501616;45G1;AV;2012-11;yes;"GRADE C";585605291;"PT. DELTA DUNIA TEKSTIL";"NAVIOS TEMO";250S;;;IFE;H8857OW;;3880;28620;32500;
2023-01-13T19:08:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRKU2801424;45G1;DM;2011-09;yes;"GRADE C";1KT785257;"PT. BHINEKA KARYA ELEKTRINDO";"NAVIOS LAPIS";251S;;;POT;H9235OW;;3790;28710;32500;
2023-01-13T19:11:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRSU3550861;45G1;DM;2017-08;yes;"GRADE B";585605291;"PT. DELTA DUNIA TEKSTIL";"NAVIOS TEMO";250S;;;PO;AA8045OA;;3810;28690;32500;
2023-01-13T19:16:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRKU3893338;45G1;DM;2012-07;yes;"GRADE C";223762254;"PT. TRIJAYA SUKSES MAKMUR";"NAVIOS LAPIS";251S;;;URT;B9903PEI;;3880;28620;32500;
2023-01-13T19:35:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRKU7609097;22G1;AV;2011-10;yes;"GRADE C";223964396;"PT. EASTWIND MANDIRI";"NAVIOS LAPIS";251S;;;URT;B9557MD;;2170;28310;30480;
2023-01-13T19:38:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";TCKU7415268;45G1;AV;2019-11;yes;"GRADE B";585605291;"PT. DELTA DUNIA TEKSTIL";"NAVIOS TEMO";250S;;;ALISHA;H1372RY;;3700;28800;32500;
2023-01-13T19:42:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";CAAU5432069;45G1;AV;2019-06;yes;"GRADE B";223762360;"PT. BHINEKA KARYA ELEKTRINDO";"NAVIOS LAPIS";251S;;;POT;H9941OA;;3700;28800;32500;
2023-01-13T20:07:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRSU5751166;45G1;AV;2021-12;yes;"GRADE A";223762254;"PT. TRIJAYA SUKSES MAKMUR";"NAVIOS LAPIS";251S;;;URT;B9521PEH;;3720;28780;32500;
2023-01-14T08:05:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRKU7614262;22G1;AV;2011-10;yes;"GRADE C";223309824;"PT. BUKITMEGA MASABADI";"NAVIOS LAPIS";251S;;;PST;H1449GA;;2170;28310;30480;
2023-01-14T08:06:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRKU8042264;22G1;AV;2012-12;yes;"GRADE B";223353732;"PT. HARTONO ISTANA TEKNOLOGI";"NAVIOS LAPIS";251S;;;MM;B9550JT;;2170;28310;30480;
2023-01-14T08:07:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MSKU0094659;45G1;AV;2007-03;yes;"GRADE C";223505876;"CV. MENTARI SINAR CEMERLANG";"PL GERMANY";249S;;;PTK;H1379TY;;4000;28500;32500;
2023-01-14T08:09:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MSKU4737563;L5G1;DM;2011-09;yes;"GRADE B";223798398;"PT. TRANSPORTAMA JASATRANS LOGISTIK";"NAVIOS TEMPO";250S;;;PO;H8664OW;;4850;27650;32500;
2023-01-14T08:10:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";SUDU7938689;22G1;DM;2011-07;yes;"GRADE C";223309824;"PT. BUKITMEGA MASABADI";"NAVIOS LAPIS";251S;;;KARIMANE;H9519OA;;2220;28260;30480;
2023-01-14T08:10:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";SUDU7938689;22G1;DM;2011-07;yes;"GRADE C";223309824;"PT. BUKITMEGA MASABADI";"NAVIOS LAPIS";251S;;;KARIMANE;H9519OA;;2220;28260;30480;
2023-01-14T08:10:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MSKU4805441;L5G1;DM;2012-09;yes;"GRADE B";223773316;"AMAD PARTONO";"NAVIOS TEMPO";250S;;;PO;B9013PEI;;4850;27650;32500;
2023-01-14T08:11:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";SUDU5704399;45G1;AV;2004-09;yes;"GRADE C";1KT776399;"CV. ACCELERO INTERNATIONAL INDONESIA";"NAVIOS TEMPO";250S;;;TJM;H1905BW;;4000;28500;32500;
2023-01-14T08:13:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";SUDU7376920;22G1;DM;2008-10;yes;"GRADE C";581855519;"PT. SINAR MULIA TEHNIK";ZHONGCHENG19;2250;;;POT;H9271OW;;2220;28260;30480;
2023-01-14T08:16:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";SEKU4450606;45G1;DM;2020-12;yes;"GRADE A";223690132;"PT. JASANTARA LIMA BENUA";"NAVIOS TEMPO";250S;;;PAT;H8122OG;;3700;28800;32500;
2023-01-14T08:17:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRKU6843304;22G1;AV;2011-07;yes;"GRADE C";223241437;"PT. BUKITMEGA MASABADI";"NAVIOS LAPIS";251S;;;HJT;H9122OW;;2170;28310;30480;
2023-01-14T08:19:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";GATU8693770;45G1;DM;2004-09;yes;"GRADE C";223564354;"PT. SARANA PELITA NIAGA";"NAVIOS LAPIS";251S;;;PAT;H8843OA;;3880;28620;32500;
2023-01-14T08:20:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRSU4231010;45G1;AV;2021-04;yes;"GRADE A";223846914;"PT. SEMARANG SENTOSA FURNINDO";"NAVIOS LAPIS";251S;;;KARIMANEN;H8326OC;;3720;28780;32500;
2023-01-14T08:23:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";CRSU1277700;22G1;DM;2008-05;yes;"GRADE C";223241437;"PT. BUKITMEGA MASABADI";"NAVIOS LAPIS";251S;;;APJ;H1590TF;;2210;28270;30480;
2023-01-14T08:26:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MSKU0734669;45G1;AV;2007-12;yes;"GRADE C";223837272;"PT. SARANA PELITA NIAGA";"NAVIOS LAPIS";251S;;;PST;H9270OW;;1860;28620;30480;
2023-01-14T08:27:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";TCKU1196500;22G1;AV;2017-09;yes;"GRADE B";223762435;"PT. MANUNGGAL ARTHA PERKASA";"NAVIOS LAPIS";251S;;;KSP;H1831EF;;2100;28380;30480;
2023-01-14T08:28:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRSU4811506;45G1;AV;2021-06;yes;"GRADE A";1KT776402;"PT. GEMILANG FORTINDO PRIMA";"NAVIOS TEMPO";250S;;;DPA;B9966UIW;;3720;28780;32500;
2023-01-14T08:37:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRSU3938836;45G1;AV;2017-06;yes;"GRADE B";223690528;"PT. TRANSPORTAMA JASATRANS LOGISTIK";"NAVIOS TEMPO";250S;;;"JATA EKSPRESS";B9341UIV;;3810;28690;32500;
2023-01-14T08:40:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MSKU9734058;45G1;AV;2006-08;yes;"GRADE C";223690158;"CV. LAUTAN EMAS TRADING";"NAVIOS TEMPO";250S;;;PO;H9829OA;;3910;28590;32500;
2023-01-14T08:41:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MIEU0056282;45G1;DM;2012-05;yes;"GRADE C";223860604;"PT. HARTONO ISTANA TEKNOLOGI";"NAVIOS LAPIS";251S;;;PAT;H1543UW;;3880;28620;32500;
2023-01-14T08:45:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MSKU5250857;22G1;DM;2008-08;yes;"GRADE C";581855519;"PT. SINAR MULIA TEHNIK";ZHONGCHENG19;2250;;;BJL;H8077BA;;2170;28310;30480;
2023-01-14T08:49:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRKU7912159;22G1;AV;2011-11;yes;"GRADE B";223241437;"PT. BUKITMEGA MASABADI";"NAVIOS LAPIS";251S;;;KARIMANEN;H9303OW;;2170;28310;30480;
2023-01-14T08:57:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRSU5212499;45G1;DM;2021-09;yes;"GRADE A";223898445;"PT. INDOPINTAN SUKSES MANDIRI";"NAVIOS LAPIS";251S;;;"HARAPAN INDAH";H8039OF;;3720;28780;32500;
2023-01-14T09:04:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";HASU1223685;22G1;AV;2014-06;yes;"GRADE B";223796534;"PT. UNITED CHEMICALS INTER ANEKA ";"NAVIOS LAPIS";251S;;;HANDOYO;H8707OW;;2220;28260;30480;
2023-01-14T09:10:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MSKU0530259;45G1;DM;2006-07;yes;"GRADE C";223601997;"PT. KARYA SUKSES SELARAS";"NAVIOS TEMPO";250S;;;PO;H8191OA;;3910;28590;32500;
2023-01-14T09:22:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MRSU3505097;45G1;AV;2017-07;yes;"GRADE B";920711056;"PT. TIGAKADISTRINDO PERKASA";"NAVIOS LAPIS";251S;;;KMK;B9118AL;;3810;28690;32500;
2023-01-14T09:36:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MSKU4587822;L5G1;DM;2004-02;yes;"GRADE C";223773165;"PT. TRANSPORTAMA JASATRANS LOGISTIK";"NAVIOS TEMPO";250S;;;PO;H9041OW;;4850;27650;32500;
2023-01-14T09:37:00+07:00;gate_in_empty;Semarang;"SEALAND MAERSK ASIA";MAEU9210474;L5G1;DM;2012-02;yes;"GRADE B";223773236;"PT. TRANSPORTAMA JASATRANS LOGISTIK";"NAVIOS TEMPO";250S;;;PO;H1605GZ;;4830;27670;32500;
